Size,Model,Parameter,MAE,RMSE,R2,Pearson,Bias
4000,6_pld,CBF,3.625436305999756,4.936517715454102,0.9707708954811096,0.9853062112777176,-0.14956560730934143
4000,6_pld,ATT,0.2588632106781006,0.38409191370010376,0.7147197723388672,0.8475955336149431,0.038967110216617584
4000,3_pld,CBF,4.053751468658447,5.626150608062744,0.9620338678359985,0.9809267217564017,0.17124786972999573
4000,3_pld,ATT,0.2623179256916046,0.3968277871608734,0.6954872608184814,0.8360487890415778,0.01854901947081089
10000,6_pld,CBF,3.425469160079956,4.713699817657471,0.9733499884605408,0.986617858762051,-0.14171262085437775
10000,6_pld,ATT,0.2472500503063202,0.38146254420280457,0.7186123132705688,0.85048269201045,0.03195066377520561
10000,3_pld,CBF,3.990969181060791,5.512887477874756,0.9635471105575562,0.9817760494100582,0.515415370464325
10000,3_pld,ATT,0.2586570382118225,0.40194573998451233,0.6875819563865662,0.8360784208394414,0.04199456050992012
25000,6_pld,CBF,3.300722599029541,4.54860258102417,0.9751840829849243,0.9875321326092278,-0.15761002898216248
25000,6_pld,ATT,0.24246786534786224,0.3672716021537781,0.7391589283943176,0.8608430531768781,0.011213865131139755
25000,3_pld,CBF,3.899364471435547,5.501819133758545,0.9636933207511902,0.9817077866276488,0.2078505903482437
25000,3_pld,ATT,0.25719061493873596,0.39224186539649963,0.7024847865104675,0.8406789266966669,0.021955624222755432
50000,6_pld,CBF,3.252126932144165,4.494574546813965,0.975770115852356,0.9878342325366185,-0.09438010305166245
50000,6_pld,ATT,0.2373189926147461,0.3647099733352661,0.742784857749939,0.8630528310795951,0.01416834257543087
50000,3_pld,CBF,3.89772891998291,5.460757732391357,0.9642332196235657,0.981958106810968,0.004536425694823265
50000,3_pld,ATT,0.2586052715778351,0.39933881163597107,0.6916213631629944,0.8391575965955442,0.02314305678009987
100000,6_pld,CBF,3.231536865234375,4.442551136016846,0.9763277769088745,0.9881027650153268,0.09382297098636627
100000,6_pld,ATT,0.23545698821544647,0.3658679723739624,0.7411488890647888,0.8625643937384838,0.01779446192085743
100000,3_pld,CBF,3.9000866413116455,5.488111972808838,0.9638739824295044,0.9819803954776606,0.5655531883239746
100000,3_pld,ATT,0.2545497417449951,0.394168883562088,0.6995543241500854,0.8409061024308107,0.04201345890760422
250000,6_pld,CBF,3.175236701965332,4.423350811004639,0.976531982421875,0.9881971345475127,0.00973266176879406
250000,6_pld,ATT,0.23427869379520416,0.3631705343723297,0.7449516654014587,0.864229697755963,0.02862340770661831
250000,3_pld,CBF,3.8722643852233887,5.457470417022705,0.9642762541770935,0.9820207947648744,0.24652603268623352
250000,3_pld,ATT,0.2534109354019165,0.39357438683509827,0.7004599571228027,0.8409869473899719,0.03372788801789284
1000000,6_pld,CBF,3.1447744369506836,4.377376079559326,0.9770172834396362,0.9884451738034954,-0.06655432283878326
1000000,6_pld,ATT,0.2326498031616211,0.36251410841941833,0.7458727955818176,0.8652033210806075,0.02106190100312233
1000000,3_pld,CBF,3.8614277839660645,5.4424614906311035,0.9644725322723389,0.9820999827761031,0.17516863346099854
1000000,3_pld,ATT,0.2525084614753723,0.39265161752700806,0.7018629312515259,0.8415843542088872,0.03556746989488602
