epoch,train_mae,validation_mae
1,0.47688646614551544,0.22169003635644913
2,0.22813538648188114,0.1979299932718277
3,0.18795672990381718,0.1660669445991516
4,0.1676506269723177,0.1501775160431862
5,0.15237545780837536,0.15363042056560516
6,0.15338237956166267,0.15049880743026733
7,0.14729023166000843,0.14952629059553146
8,0.14648534543812275,0.1462867334485054
9,0.14448626339435577,0.149403914809227
10,0.14379444904625416,0.14770013839006424
11,0.14422520250082016,0.1417238414287567
12,0.1483355350792408,0.1683955192565918
13,0.1533688884228468,0.14804081618785858
14,0.14660413935780525,0.1467633694410324
15,0.1426821518689394,0.14328087866306305
16,0.14273178204894066,0.14148657768964767
17,0.1427092459052801,0.14367364346981049
18,0.14661031775176525,0.1459522545337677
19,0.1459823865443468,0.14807740598917007
20,0.14267458766698837,0.15079029649496078
21,0.14434927888214588,0.14942944049835205
22,0.1416193787008524,0.14463425427675247
23,0.14063259959220886,0.1471150815486908
24,0.14035596884787083,0.14471550285816193
25,0.14488645270466805,0.15324174612760544
26,0.15367352031171322,0.15753617882728577
27,0.15106084197759628,0.1482842043042183
28,0.14294547401368618,0.14525102078914642
29,0.14007793739438057,0.14482180029153824
30,0.14087740890681744,0.15080080181360245
31,0.14437881484627724,0.14701782166957855
32,0.1430098731070757,0.14284928888082504
33,0.13933333195745945,0.1424105018377304
34,0.1408647708594799,0.14637849479913712
35,0.14272071234881878,0.14322225749492645
36,0.13990307226777077,0.14704634994268417
