Parameter,MAE_change_percent,RMSE_change_percent,R2_change_percent,Pearson_change_percent
CBF,10.764941,13.51548,-0.8765158543919972,-0.45503729293655953
ATT,1.173215,0.92322826,-0.7861358208879226,-0.5979681029827025
