Model,Parameter,MAE,RMSE,MAPE_percent,R2,Pearson,Bias,Error_SD
6 PLD,CBF,3.7032266,4.9575334,66.664406,0.9705215096473694,0.9854543157876788,0.41484806,4.9403925
6 PLD,ATT,0.2581759,0.39233142,24.6767,0.7023489475250244,0.8426686783532485,0.06092762,0.387591
4 PLD,CBF,3.605143,4.8246865,65.02389,0.9720802307128906,0.9859898024021013,-0.28239843,4.8166556
4 PLD,ATT,0.25052592,0.38115856,23.786064,0.7190606594085693,0.8508361362489744,0.049535796,0.37794492
