SNR,Model,Parameter,RMSE,MAE,CCC
10,6 PLD,CBF,4.412698745727539,3.4978113174438477,0.9879861029534357
10,6 PLD,ATT,0.4000824987888336,0.2662340998649597,0.82326100059102
10,4 PLD,CBF,4.373271942138672,3.416707754135132,0.9884359383832997
10,4 PLD,ATT,0.38596034049987793,0.25395169854164124,0.8341751881783381
15,6 PLD,CBF,3.686924934387207,2.870778799057007,0.9916814973780376
15,6 PLD,ATT,0.34631508588790894,0.22499413788318634,0.8689346164636624
15,4 PLD,CBF,3.733595371246338,2.868135452270508,0.9916297034792985
15,4 PLD,ATT,0.3361668288707733,0.21905827522277832,0.8757126751778633
20,6 PLD,CBF,3.4226160049438477,2.6245460510253906,0.9928474346718225
20,6 PLD,ATT,0.31493279337882996,0.20360319316387177,0.8923637949819736
20,4 PLD,CBF,3.483973503112793,2.6197924613952637,0.9927240839890581
20,4 PLD,ATT,0.31067174673080444,0.20385795831680298,0.8946380223189345
25,6 PLD,CBF,3.263800621032715,2.4740827083587646,0.9935040468010178
25,6 PLD,ATT,0.29691749811172485,0.19243231415748596,0.9045005125693447
25,4 PLD,CBF,3.3483333587646484,2.499107599258423,0.9932895609933875
25,4 PLD,ATT,0.297151118516922,0.19431158900260925,0.903766454171008
30,6 PLD,CBF,3.2040915489196777,2.404555320739746,0.9937403578281395
30,6 PLD,ATT,0.28381767868995667,0.1842615008354187,0.9130144917102956
30,4 PLD,CBF,3.3044445514678955,2.4382998943328857,0.9934649700952857
30,4 PLD,ATT,0.28494375944137573,0.18716362118721008,0.9119629979508327
35,6 PLD,CBF,3.136828660964966,2.3503682613372803,0.9940056003506798
35,6 PLD,ATT,0.27486664056777954,0.17869384586811066,0.918462774424415
35,4 PLD,CBF,3.260969638824463,2.39978289604187,0.9936452987518357
35,4 PLD,ATT,0.2774460017681122,0.1824839860200882,0.9165635662636118
40,6 PLD,CBF,3.108537197113037,2.307640790939331,0.9941086567265285
40,6 PLD,ATT,0.26990556716918945,0.17518387734889984,0.9215261524542128
40,4 PLD,CBF,3.22625470161438,2.360245704650879,0.9937750072815627
40,4 PLD,ATT,0.27329176664352417,0.17928263545036316,0.919150224748187
45,6 PLD,CBF,3.0957138538360596,2.2988245487213135,0.9941589495791855
45,6 PLD,ATT,0.2683699131011963,0.17364363372325897,0.9223034179241673
45,4 PLD,CBF,3.20633602142334,2.3430511951446533,0.9938549176913114
45,4 PLD,ATT,0.27147287130355835,0.17871010303497314,0.9202103069669417
50,6 PLD,CBF,3.083148717880249,2.282831907272339,0.9942062375897114
50,6 PLD,ATT,0.2634628117084503,0.1705951988697052,0.9252602906242826
50,4 PLD,CBF,3.1939144134521484,2.321788787841797,0.993903221916863
50,4 PLD,ATT,0.26691505312919617,0.1757151335477829,0.9230001981469756
55,6 PLD,CBF,3.0704097747802734,2.2622931003570557,0.9942530304248642
55,6 PLD,ATT,0.2612842917442322,0.168844074010849,0.9265901997449
55,4 PLD,CBF,3.196012496948242,2.317265033721924,0.9938956838237136
55,4 PLD,ATT,0.26535579562187195,0.17433865368366241,0.9239273087042548
60,6 PLD,CBF,3.059906244277954,2.25152587890625,0.9942930698898501
60,6 PLD,ATT,0.25912144780158997,0.16745997965335846,0.927773443618386
60,4 PLD,CBF,3.1815567016601562,2.304328680038452,0.993949891211679
60,4 PLD,ATT,0.2639659643173218,0.17399969696998596,0.924760155341397
65,6 PLD,CBF,3.0610268115997314,2.255316972732544,0.9942887924540477
65,6 PLD,ATT,0.25919386744499207,0.16704337298870087,0.9276728870486832
65,4 PLD,CBF,3.1720051765441895,2.2955219745635986,0.9939869100670689
65,4 PLD,ATT,0.26304787397384644,0.17321273684501648,0.9252341609565193
70,6 PLD,CBF,3.0469720363616943,2.241328477859497,0.9943424093233606
70,6 PLD,ATT,0.2589662969112396,0.1670205295085907,0.9278664412074784
70,4 PLD,CBF,3.1680259704589844,2.291149616241455,0.9940026302916188
70,4 PLD,ATT,0.26255422830581665,0.17284619808197021,0.9255937788951853
75,6 PLD,CBF,3.051401138305664,2.2407329082489014,0.9943238512342194
75,6 PLD,ATT,0.2571176588535309,0.16595077514648438,0.9288647100145564
75,4 PLD,CBF,3.168313980102539,2.2901971340179443,0.993999573889483
75,4 PLD,ATT,0.2606314718723297,0.17190293967723846,0.9266649504825042
80,6 PLD,CBF,3.0436642169952393,2.236635446548462,0.994354475787553
80,6 PLD,ATT,0.25653135776519775,0.16520142555236816,0.9292907836051659
80,4 PLD,CBF,3.1623353958129883,2.285357713699341,0.9940246323605244
80,4 PLD,ATT,0.26013901829719543,0.17123295366764069,0.9270087151623504
