epoch,train_mae,validation_mae
1,0.636447148663657,0.5775694340467453
2,0.5737284291155484,0.561183688044548
3,0.568346838105698,0.5710372060537339
4,0.5646294583471454,0.5637653827667236
5,0.5614961782584384,0.5572074830532074
6,0.5607847285513975,0.5599213182926178
7,0.560366441704789,0.5551714032888413
8,0.5584499632217446,0.5617281556129455
9,0.5588001359482201,0.5589665740728378
10,0.557851780434044,0.5637791693210602
11,0.5566224518175028,0.5581413507461548
12,0.5575644364770578,0.5528513759374618
13,0.5561625549987871,0.5607346057891845
14,0.5564382283055053,0.559081956744194
15,0.5567437431641987,0.5550086319446563
16,0.555363656914964,0.5559471756219864
17,0.5554378323104917,0.5536466509103775
18,0.554525151392635,0.5531820565462112
19,0.5549244996236296,0.5558184027671814
20,0.5547100434802017,0.5568399578332901
21,0.5549999247400128,0.5564287424087524
22,0.5544619310875328,0.5583184361457825
23,0.5537857367676131,0.5577809333801269
24,0.5553000008269232,0.5625559687614441
25,0.5532537212177199,0.5560010313987732
26,0.5540581798675109,0.5564213842153549
27,0.552917308801291,0.5534152120351792
28,0.5532402260875215,0.5540364921092987
29,0.5533510166771558,0.5542702496051788
30,0.5533276857162008,0.5542482733726501
31,0.5532953143119812,0.5567206710577011
32,0.5534216487894252,0.55378098487854
