architecture,6PLD_CBF_RMSE,3PLD_CBF_RMSE,CBF_RMSE_Degradation_%,6PLD_ATT_RMSE,3PLD_ATT_RMSE,ATT_RMSE_Degradation_%
BaselineMLP,4.431816101074219,4.934338569641113,11.338973845171264,0.3633503913879394,0.3796561360359192,4.487608940145764
WiderMLP,4.370736598968506,4.922170639038086,12.616501305517211,0.367862343788147,0.3823618292808532,3.9415519793068414
ResidualMLP,4.380456447601318,4.905046463012695,11.975692982831406,0.3633452355861664,0.3792483210563659,4.376852621871838
Conv1DNet,4.417591094970703,4.928883075714111,11.573999715036981,0.3637752830982208,0.3823409080505371,5.103597142223511
MultiTaskMLP,4.443591117858887,4.928135395050049,10.904339853497511,0.3625431358814239,0.3801683783531189,4.861557350642999
