epoch,train_mae,validation_mae
1,0.41101479007273306,0.3693844477335612
2,0.358484588837137,0.35774244864781696
3,0.3544756686200901,0.3554184337457021
4,0.35386511367194506,0.35447681943575543
5,0.3532011299717183,0.34828901290893555
6,0.34985153407466657,0.3474341730276744
7,0.35050722299789894,0.3517650067806244
8,0.34868265037633933,0.35144221782684326
9,0.3493334427171824,0.3453171451886495
10,0.34831046559372725,0.34797412157058716
11,0.347780137645955,0.3454096019268036
12,0.34774175480920444,0.34697165091832477
13,0.34760283937259595,0.3444596628348033
14,0.3478890538215637,0.3533664147059123
15,0.3480063905521315,0.3442338705062866
16,0.3468789773327964,0.3473008970419566
17,0.3473838300121074,0.3439274827639262
18,0.34711879576955523,0.3465247352917989
19,0.34705768543846754,0.3441104094187419
20,0.3473778315952846,0.3463006416956584
21,0.34700496318388957,0.3451237976551056
22,0.346844154839613,0.34524640440940857
23,0.34679138234683443,0.34432732065518695
24,0.3467118500446787,0.34356045722961426
25,0.3466897483991117,0.3443584740161896
26,0.34684771688617005,0.3429314096768697
27,0.34693376081330435,0.3452422519524892
28,0.3462899088859558,0.34476075569788617
29,0.3463036962917873,0.34485621253649396
30,0.3463889479637146,0.34542221824328107
31,0.34638316156912824,0.3434320588906606
32,0.34632299092351176,0.3454442818959554
33,0.34630675924067594,0.34428228934605914
34,0.346299201006792,0.3430901765823364
35,0.3458987234806528,0.34377692143122357
36,0.34614913256800905,0.3443966905275981
37,0.3464324475551138,0.34515734513600665
38,0.34636289890931576,0.34451669454574585
39,0.346072862951123,0.34472930431365967
40,0.3460581298993558,0.3547687033812205
41,0.3461226432907338,0.3443719148635864
42,0.3458480693856064,0.3444407482941945
43,0.3458609508008373,0.3456115623315175
44,0.3460984141242747,0.343705674012502
45,0.3457705711831852,0.34347955385843915
46,0.3458303686307401,0.3429361085096995
