epoch,train_loss,validation_loss
1,0.5003695609048009,0.26929590106010437
2,0.2606087545864284,0.19328483939170837
3,0.22763405833393335,0.17121972143650055
4,0.21331097930669785,0.1616116464138031
5,0.20425350032746792,0.1593862920999527
6,0.19067495921626687,0.15073281526565552
7,0.19300264958292246,0.1485319584608078
8,0.18740922585129738,0.15470083057880402
9,0.18473012698814273,0.14900439977645874
10,0.186399343656376,0.14610877633094788
11,0.18019861681386828,0.14752773940563202
12,0.17666626488789916,0.14743751287460327
13,0.1782429211307317,0.15103952586650848
14,0.18571642274037004,0.14903122186660767
15,0.18060299148783088,0.14701978862285614
16,0.1705181049183011,0.14733977615833282
17,0.17060745344497263,0.14481037855148315
18,0.17885380797088146,0.14416174590587616
19,0.16630115313455462,0.14323171973228455
20,0.1700457059778273,0.1439298838376999
21,0.1647539995610714,0.14257147908210754
22,0.16496522235684097,0.14512063562870026
23,0.16263752849772573,0.14326658844947815
24,0.16564747504889965,0.14392812550067902
25,0.16810472728684545,0.14397984743118286
26,0.16407983703538775,0.1431606113910675
27,0.1568697092588991,0.1449240893125534
28,0.1662370595149696,0.14229005575180054
29,0.16004129452630877,0.14395755529403687
30,0.16200882964767516,0.1446736752986908
31,0.16091397078707814,0.14536631107330322
32,0.16221995558589697,0.14336122572422028
33,0.15871977247297764,0.1411079466342926
34,0.16097367694601417,0.14146220684051514
35,0.15561056532897055,0.14254911243915558
36,0.16063900594599545,0.14383266866207123
37,0.15565265296027064,0.14418287575244904
38,0.15594729059375823,0.1444845348596573
39,0.15784742473624647,0.14269809424877167
40,0.1602410413324833,0.15415772795677185
41,0.16264962288551033,0.14289161562919617
42,0.1564319257158786,0.14291034638881683
43,0.1541257204953581,0.14146700501441956
44,0.16248639160767198,0.14145782589912415
45,0.15366058144718409,0.14236201345920563
46,0.15598937449976802,0.14304763078689575
47,0.15622609248384833,0.14311271905899048
48,0.1579467453993857,0.14447292685508728
49,0.15450978954322636,0.14497694373130798
50,0.15209119697101414,0.14239449799060822
51,0.15596501831896603,0.14338742196559906
52,0.150728429434821,0.14513052999973297
53,0.14951130840927362,0.1461169570684433
