Model,Parameter,MAE,RMSE,R2,Pearson,Bias,Error_SD
6_pld,CBF,3.626189947128296,4.871808052062988,0.9715321660041809,0.9859181119756424,-0.5140445232391357,4.844854831695557
6_pld,ATT,0.2559598982334137,0.3895695209503174,0.7065249681472778,0.84592339452798,0.061281926929950714,0.3847385346889496
4_pld,CBF,3.5433828830718994,4.825678825378418,0.972068727016449,0.986082257433583,0.23199902474880219,4.820339679718018
4_pld,ATT,0.25071287155151367,0.3828924894332886,0.7164987325668335,0.8501339412031114,0.05399084463715553,0.3790857493877411
3_pld,CBF,4.075557231903076,5.622018337249756,0.9620895981788635,0.9808923484274185,-0.2031104862689972,5.61862850189209
3_pld,ATT,0.2622719705104828,0.39913395047187805,0.6919376850128174,0.8375501596722572,0.05079744756221771,0.39590805768966675
