Parameter,MAE_change_percent,RMSE_change_percent,R2_change_percent,Pearson_change_percent
CBF,-2.6485956,-2.679696,0.1606065450406749,0.05433906025308434
ATT,-2.9630911,-2.847812,2.379402993687762,0.9692371516272259
