SNR,Model,Parameter,MAE,RMSE,R2,Pearson,Bias,Error_SD
10,6_pld,CBF,3.396906614303589,4.360179424285889,0.9771974682807922,0.9891090237098363,-0.8274820446968079,4.281152725219727
10,6_pld,ATT,0.26148363947868347,0.39540648460388184,0.697664737701416,0.8414974643164771,0.06626170873641968,0.3898344039916992
10,4_pld,CBF,3.373129367828369,4.314238548278809,0.9776754975318909,0.9888430330129275,-0.012263551354408264,4.314436912536621
10,4_pld,ATT,0.2515086531639099,0.38202640414237976,0.7177798748016357,0.8517629529809755,0.061910051852464676,0.37699538469314575
10,3_pld,CBF,3.762164831161499,4.83153772354126,0.9720008373260498,0.9860660130250873,-0.49100953340530396,4.806763648986816
10,3_pld,ATT,0.26118192076683044,0.395607590675354,0.6973570585250854,0.8410347465251918,0.057405322790145874,0.3914400637149811
15,6_pld,CBF,2.878298759460449,3.7497847080230713,0.9831349849700928,0.992634126298665,-1.1565302610397339,3.567154884338379
15,6_pld,ATT,0.22153666615486145,0.3400346338748932,0.7764124870300293,0.8831950519200074,0.03955400362610817,0.3377431631088257
15,4_pld,CBF,2.7329604625701904,3.5899224281311035,0.9845423102378845,0.9923614100190581,-0.4120585024356842,3.566373825073242
15,4_pld,ATT,0.21622201800346375,0.3297869861125946,0.7896859645843506,0.8896798721974388,0.03062390722334385,0.32837846875190735
15,3_pld,CBF,3.0813074111938477,4.0368804931640625,0.9804536700248718,0.9909940308513381,-1.0833230018615723,3.8890011310577393
15,3_pld,ATT,0.22348415851593018,0.3396320044994354,0.7769416570663452,0.8826660938953775,0.02516060881316662,0.33871567249298096
20,6_pld,CBF,2.65582275390625,3.507664442062378,0.9852426052093506,0.9937822092164483,-1.1792328357696533,3.303666114807129
20,6_pld,ATT,0.200851172208786,0.30969321727752686,0.8145338296890259,0.9033522232734879,0.02596781589090824,0.30861803889274597
20,4_pld,CBF,2.464892625808716,3.331230878829956,0.9866898655891418,0.993471750826246,-0.47707831859588623,3.2970566749572754
20,4_pld,ATT,0.2005307525396347,0.3043063282966614,0.8209298849105835,0.9066194460900989,0.01948198303580284,0.30369722843170166
20,3_pld,CBF,2.836784839630127,3.7685348987579346,0.982965886592865,0.9925267616678015,-1.2489508390426636,3.5557336807250977
20,3_pld,ATT,0.20475174486637115,0.3067595958709717,0.8180309534072876,0.9047751355445109,0.014134430326521397,0.30644911527633667
25,6_pld,CBF,2.5362179279327393,3.3597898483276367,0.9864606261253357,0.9944333810528307,-1.1809346675872803,3.1455633640289307
25,6_pld,ATT,0.19014543294906616,0.29390889406204224,0.8329576253890991,0.9131307256627466,0.020185884088277817,0.2932295501232147
25,4_pld,CBF,2.321141481399536,3.179741382598877,0.9878728985786438,0.9940956753629491,-0.5343483090400696,3.134678363800049
25,4_pld,ATT,0.1935379058122635,0.2911425828933716,0.8360872268676758,0.9148442769525964,0.012911885045468807,0.29087069630622864
25,3_pld,CBF,2.702040195465088,3.6319973468780518,0.9841778874397278,0.9932859265496704,-1.3160295486450195,3.3853533267974854
25,3_pld,ATT,0.1964459866285324,0.2934812903404236,0.833443284034729,0.9130064166232951,0.005779679864645004,0.29343903064727783
30,6_pld,CBF,2.4769577980041504,3.298727035522461,0.9869483113288879,0.9946849113118787,-1.181251049041748,3.0801289081573486
30,6_pld,ATT,0.1823209971189499,0.279356449842453,0.8490897417068481,0.9217031554177344,0.015098461881279945,0.278962105512619
30,4_pld,CBF,2.246352195739746,3.134699821472168,0.9882140159606934,0.9942770243595064,-0.5516831278800964,3.0859265327453613
30,4_pld,ATT,0.18640567362308502,0.27994731068611145,0.8484507203102112,0.9215158538150886,0.006778007373213768,0.27987921237945557
30,3_pld,CBF,2.635244607925415,3.584667205810547,0.984587550163269,0.9935864483896992,-1.3671951293945312,3.3138668537139893
30,3_pld,ATT,0.19000524282455444,0.28227707743644714,0.845917820930481,0.9197539027246907,0.00122360629029572,0.282288521528244
35,6_pld,CBF,2.454885244369507,3.263444662094116,0.9872260093688965,0.9948827044143078,-1.2014909982681274,3.034371852874756
35,6_pld,ATT,0.17704179883003235,0.27179017663002014,0.8571537733078003,0.9259924601515769,0.012535080313682556,0.27151453495025635
35,4_pld,CBF,2.19128680229187,3.0721356868743896,0.9886797666549683,0.9945388653711708,-0.595085859298706,3.0141000747680664
35,4_pld,ATT,0.1832757294178009,0.27377963066101074,0.8550548553466797,0.9251254021697994,0.004003382287919521,0.273764044046402
35,3_pld,CBF,2.5883383750915527,3.5438456535339355,0.9849365949630737,0.9938594304542177,-1.407418966293335,3.2525484561920166
35,3_pld,ATT,0.1867978721857071,0.2752145528793335,0.853531539440155,0.9238703816068959,-0.0015930805820971727,0.2752237021923065
40,6_pld,CBF,2.3954169750213623,3.2103030681610107,0.9876386523246765,0.9950306721287645,-1.173782467842102,2.9881720542907715
40,6_pld,ATT,0.17332381010055542,0.26701992750167847,0.8621240258216858,0.928610428710073,0.009655730798840523,0.26685863733291626
