epoch,train_mae,validation_mae
1,0.4641874374783769,0.36394107192754743
2,0.3632682993703959,0.3595755845308304
3,0.3501843007243409,0.35221153646707537
4,0.3465597617382906,0.34486406445503237
5,0.3455982682656269,0.34111358076334
6,0.344275814233994,0.34347785115242
7,0.34131485558286007,0.3515874624252319
8,0.3401036828148122,0.34494932293891906
9,0.3388165563953166,0.33590697795152663
10,0.3374659157529169,0.3323726549744606
11,0.33471896210495306,0.33112938702106476
12,0.3331036531195349,0.3383797064423561
13,0.33170969084817536,0.3407274752855301
14,0.3349084869331243,0.32849344462156294
15,0.33144709437477343,0.3405912473797798
16,0.3320911286436782,0.33709209263324735
17,0.33063375402470024,0.33089316040277483
18,0.3305279265861122,0.3277510434389114
19,0.326484745254322,0.3435841530561447
20,0.3288471376409336,0.3417009100317955
21,0.3283329679041493,0.33953292965888976
22,0.32936746703118697,0.3474454253911972
23,0.3293481992215526,0.32809995114803314
24,0.32541547685253375,0.3341775953769684
25,0.3270017678032116,0.3312602162361145
26,0.32584971524014766,0.33544924259185793
27,0.3263315461119827,0.32477192133665084
28,0.3247550957056941,0.32766315788030625
29,0.32312092489125777,0.33388481140136717
30,0.3249056460906048,0.3382362753152847
31,0.3237987479993275,0.32727485001087187
32,0.32285898254842177,0.3291519537568092
33,0.32261864232773685,0.3355487838387489
34,0.322478142928104,0.32761550396680833
35,0.320221486444376,0.33513062000274657
36,0.3227285225780643,0.3348031252622604
37,0.319780095499389,0.33158149421215055
38,0.31980746741197547,0.33644815534353256
39,0.31965021880305544,0.3314496338367462
40,0.3203613849318757,0.3289917781949043
41,0.31953778771721586,0.32849959284067154
42,0.3177978697479988,0.32755744010210036
43,0.31938015806431674,0.3433539390563965
44,0.3174309888664557,0.32562941759824754
45,0.3178326879837075,0.32724964916706084
46,0.31758175911952036,0.32865725457668304
47,0.3181036741149669,0.33350047320127485
