epoch,train_mae,validation_mae
1,0.1873646610549518,0.12746205429236093
2,0.12509869501298787,0.12257391214370728
3,0.12232898120977441,0.11999315768480301
4,0.11854114669318101,0.11830099920431773
5,0.11784432858836894,0.11779217918713887
6,0.11728322989478403,0.117733895778656
7,0.11688995020730154,0.11688638230164845
8,0.11652610533091487,0.11727652947107951
9,0.11645267237814105,0.11691203713417053
10,0.11659578738772139,0.11575284600257874
11,0.11594972102617732,0.11667176832755406
12,0.1160449499378399,0.1158330887556076
13,0.11614139381111885,0.11778660366932552
14,0.11568645983934403,0.11528852333625157
15,0.11586675795973564,0.11478892962137859
16,0.11576602638376002,0.1155825878183047
17,0.1156266812463196,0.11730006337165833
18,0.11617031891127022,0.11628597974777222
19,0.11550322950494532,0.11440297464529674
20,0.1154475592228831,0.11406376212835312
21,0.11539208590984344,0.11580689748128255
22,0.1152428719766286,0.11570671697457631
23,0.11533280197454958,0.11611182739337285
24,0.11549517028793997,0.11431227624416351
25,0.11517853268555232,0.11566686381896336
26,0.11564715842203219,0.11839397499958675
27,0.1154350214770862,0.11486981809139252
28,0.11521082751604976,0.11485818276802699
29,0.11517641006075606,0.1160799190402031
30,0.11500219860855414,0.1157042607665062
31,0.11522733240711446,0.11452147116263707
32,0.11553708311854577,0.11491678406794865
33,0.11498042296390144,0.11593580494324367
34,0.11510996207290766,0.11636875073115031
35,0.11523162476262268,0.1165005291501681
36,0.11504965816833534,0.11419638991355896
37,0.1148791773586857,0.11570936938126881
38,0.11488975399002736,0.11599306017160416
39,0.1148858090444487,0.1158514494697253
40,0.1149978723757121,0.11743249992529552
