epoch,train_mae,validation_mae
1,0.39993314341622954,0.35215580463409424
2,0.34007327203847926,0.3345586856206258
3,0.33730582643528373,0.3307795623938243
4,0.3344794723452354,0.33506691455841064
5,0.33288764102118357,0.3291929264863332
6,0.33305877374143017,0.33871107300122577
7,0.3313479112119091,0.33011295398076373
8,0.3296685580088168,0.3243843913078308
9,0.32889953730057697,0.3232496877511342
10,0.3281192145785507,0.3291396200656891
11,0.3293993400067699,0.32604147990544635
12,0.32762119745721624,0.3266655007998149
13,0.327676675514299,0.32718725005785626
14,0.32726707203047617,0.32387569546699524
15,0.3271209461348397,0.3273004690806071
16,0.3272216652120863,0.3303466538588206
17,0.326825785758544,0.32238678137461346
18,0.3265496823252464,0.3284133772055308
19,0.3263087661898866,0.3239913086096446
20,0.32700968944296543,0.3252864678700765
21,0.32641413163165656,0.3254247506459554
22,0.3262977107447021,0.3248057961463928
23,0.3262951735331088,0.32482800881067914
24,0.32623734462017917,0.3253949185212453
25,0.32634380666577084,0.32543233036994934
26,0.32599167677820945,0.3228466312090556
27,0.32593932881647225,0.32820876439412433
28,0.32626070562674075,0.3229551911354065
29,0.32579746404472665,0.32372190554936725
30,0.32663780377835644,0.331142117579778
31,0.32575903887651403,0.3240911861260732
32,0.32577661202878366,0.3237716158231099
33,0.3255171426704952,0.32268430789311725
34,0.3257023859997185,0.32256899277369183
35,0.325461624714793,0.32268022497495014
36,0.32569648586973854,0.32696173588434857
37,0.32554028532942947,0.3243209719657898
