epoch,train_mae,validation_mae
1,0.22210467355896016,0.18249401152133943
2,0.17403636690305205,0.20128977969288825
3,0.17310512271158549,0.16946792379021644
4,0.16993462697279696,0.16536789014935493
5,0.16791985814972799,0.1811581827700138
6,0.16732851446283106,0.1759166643023491
7,0.16697010869274334,0.1659334793686867
8,0.16663134668250473,0.16700654700398446
9,0.16598575873946658,0.16604335233569145
10,0.1655815984217488,0.16322258487343788
11,0.16488631662665582,0.16752838641405104
12,0.1647644562988865,0.16967257484793663
13,0.16461794861421294,0.165625861287117
14,0.1649378126068991,0.166281870752573
15,0.16438453066713957,0.16598814651370047
16,0.1639350778138151,0.16391403526067733
17,0.16498091056638833,0.16773539707064627
18,0.16358372082515638,0.16574935764074325
19,0.16408308907126895,0.16718822121620178
20,0.16339308183108056,0.16649818643927575
21,0.16340786834456483,0.1644918590784073
22,0.1638504738102154,0.16714327931404113
23,0.16390750405131554,0.16455071195960044
24,0.16474636195569622,0.1656975768506527
25,0.16334310044743577,0.17103031128644944
26,0.16287778804496844,0.16395779252052306
27,0.16297882514036433,0.16950674802064897
28,0.16334058762508996,0.16744608134031297
29,0.16319188863343123,0.16465834379196168
30,0.16342185498500356,0.16380596905946732
