epoch,train_mae,validation_mae
1,0.703258965164423,0.3868960440158844
2,0.2828203346580267,0.22501824796199799
3,0.19392696022987366,0.20083869248628616
4,0.19147655181586742,0.17889688163995743
5,0.16485665179789066,0.1602884978055954
6,0.16401150822639465,0.16106825321912766
7,0.16013317741453648,0.1528559848666191
8,0.1440635323524475,0.14859192818403244
9,0.13749665394425392,0.13544690608978271
10,0.14090799540281296,0.18871311098337173
11,0.15044211596250534,0.13997255265712738
12,0.1336915036663413,0.14167708158493042
13,0.13164262101054192,0.12892384827136993
14,0.12793190497905016,0.13643883168697357
15,0.13146882690489292,0.12686807662248611
16,0.12631450407207012,0.144925095140934
17,0.1395586347207427,0.1357402577996254
18,0.1296151289716363,0.14104409515857697
19,0.13348511792719364,0.1448645442724228
20,0.13184386491775513,0.13520345091819763
21,0.12774335220456123,0.12453411892056465
22,0.12715507484972477,0.131248377263546
23,0.12502767704427242,0.1273336410522461
24,0.1280424278229475,0.13898029923439026
25,0.1313239736482501,0.13086726516485214
26,0.12198727205395699,0.12753253802657127
27,0.12535508442670107,0.13316050171852112
28,0.134366936981678,0.12948405742645264
29,0.1240264531224966,0.146144837141037
30,0.1314153838902712,0.1326071172952652
31,0.12582063488662243,0.15276487916707993
32,0.1286502005532384,0.1382267251610756
33,0.1301500629633665,0.13007089495658875
34,0.13192756567150354,0.13422473520040512
35,0.1232419228181243,0.14922282844781876
36,0.12406415864825249,0.13609563559293747
37,0.12484781257808208,0.13096078485250473
38,0.1210978589951992,0.13434989005327225
39,0.12378210388123989,0.13345050811767578
40,0.12318603321909904,0.12453891709446907
41,0.12402394134551287,0.14071792364120483
