epoch,train_mae,validation_mae
1,0.1868908285942613,0.14159111306071281
2,0.14603477587201158,0.1359096422791481
3,0.13742131891907478,0.14715664759278296
4,0.13901453172521933,0.1637141600251198
5,0.136136299151243,0.13018229082226754
6,0.13349861389368164,0.1341401070356369
7,0.13575975878202184,0.1298555340617895
8,0.133381101511875,0.13031424582004547
9,0.1329803418140022,0.13055851273238658
10,0.13103201225095865,0.13042287416756154
11,0.13176507498992948,0.14119185656309127
12,0.1318114215165985,0.13805123046040535
13,0.13114391073432505,0.1385021097958088
14,0.13129136308419462,0.12838091887533665
15,0.13015059385524722,0.1275778990238905
16,0.1299034243791687,0.12975675724446772
17,0.12918601664049284,0.13039243556559085
18,0.1304603642879092,0.12905485928058624
19,0.12906789874696,0.12755255363881587
20,0.129695861847425,0.13357712812721728
21,0.12911727838218212,0.13126341328024865
22,0.12889357302718016,0.12894900068640708
23,0.12843420025797522,0.12957408092916012
24,0.12841925317687647,0.12940718084573746
25,0.12835280068826918,0.12649550028145312
26,0.12810265223438644,0.13221344351768494
27,0.1283039189494994,0.12687396854162217
28,0.12823093811772307,0.1303434781730175
29,0.12844194270366308,0.12787608802318573
30,0.1273131293377706,0.12842794358730317
31,0.12851914470749243,0.1348069578409195
32,0.12884861166227837,0.130772278085351
33,0.12855667582884125,0.14405854567885398
34,0.12833750920788367,0.12867000624537467
35,0.12764654491020708,0.13455913960933685
36,0.12750075031452032,0.12706177085638046
37,0.1279254116270007,0.1283608391880989
38,0.12774161971649345,0.12679453939199448
39,0.12797655784810075,0.13285719081759453
40,0.12789294260496997,0.1283816821873188
41,0.12740878445305387,0.13034898191690444
42,0.12813705262937108,0.12883758991956712
43,0.1272990524920882,0.12874349057674409
44,0.1275510887178231,0.12793185152113437
45,0.12709535890239843,0.12789664790034294
