CBF,ATT,PLD,Selected,Signal_Amplitude,Norm_Signal,Slope_dS_dPLD,Abs_Slope,Curve_Max_PLD,Dist_to_Max,Curve_Region,Sens_CBF,Sens_ATT
20.0,0.5,1.525,True,138.64508140156994,0.6456485234212076,-115.43697156178678,115.43697156178678,1.0,0.5249999999999999,post-maximum/decay,6.9322540700785,32.01714584013985
20.0,0.5,2.025,False,91.4004708373628,0.42563773946818295,-76.22793680674386,76.22793680674386,1.0,1.025,post-maximum/decay,4.570023541868139,21.107003400873623
20.0,0.5,2.525,True,60.25490399544034,0.2805976916040972,-50.33654531297907,50.33654531297907,1.0,1.525,late decay,3.012745199772013,13.914594223634538
20.0,0.5,3.025,True,39.72248088262133,0.18498139904587485,-33.045641343147054,33.045641343147054,1.0,2.025,late decay,1.9861240441310635,9.173065864972116
20.0,0.5,3.525,False,26.186673330184355,0.12194725408236225,-21.821440964393332,21.821440964393332,1.0,2.525,late decay,1.3093336665092163,6.047257721694521
20.0,0.5,4.025,False,17.263319029043878,0.08039258463247008,-14.409624580072887,14.409624580072887,1.0,3.0250000000000004,late decay,0.8631659514521939,3.9865979914343086
20.0,1.0,1.525,True,155.61408744056138,0.6456485237490728,-129.56549777961845,129.56549777961845,1.0,0.5249999999999999,post-maximum/decay,7.780704372028069,35.93577847838645
20.0,1.0,2.025,False,102.58712907238264,0.4256377396843249,-85.55760293652656,85.55760293652656,1.0,1.025,post-maximum/decay,5.129356453619131,23.690325250835258
20.0,1.0,2.525,True,67.6296036201318,0.28059769174658683,-56.49732024104196,56.49732024104196,1.0,1.525,late decay,3.3814801810065873,15.617624948014424
20.0,1.0,3.025,True,44.584182510741904,0.18498139913980974,-37.09015328576834,37.09015328576834,1.0,2.025,late decay,2.2292091255370927,10.29577291296313
20.0,1.0,3.525,False,29.3917045753531,0.12194725414428802,-24.492204036267594,24.492204036267594,1.0,2.525,late decay,1.469585228767654,6.787391823542421
20.0,1.0,4.025,False,19.376205846921028,0.08039258467329405,-16.173242907148506,16.173242907148506,1.0,3.0250000000000004,late decay,0.9688102923460509,4.474524463169374
20.0,1.5,1.525,True,174.65995883272987,0.9798525588644319,-145.42323822046637,145.42323822046637,1.4979959919839678,0.02700400801603209,near maximum,8.732997941636498,-6.558358268869142
20.0,1.5,2.025,False,115.14294133167242,0.6459586184093056,-96.0291426856129,96.0291426856129,1.4979959919839678,0.5270040080160321,post-maximum/decay,5.75714706658362,26.58982423185364
20.0,1.5,2.525,True,75.90690520662444,0.42584216668355857,-63.41212283386085,63.41212283386085,1.4979959919839678,1.027004008016032,post-maximum/decay,3.795345260331217,17.52909248352637
20.0,1.5,3.025,True,50.04091602498044,0.2807324583303915,-41.629679886573285,41.629679886573285,1.4979959919839678,1.527004008016032,late decay,2.5020458012490217,11.55588997568195
20.0,1.5,3.525,False,32.98900501611559,0.18507024274744713,-27.48984631825897,27.48984631825897,1.4979959919839678,2.027004008016032,late decay,1.6494502508057796,7.618112190095516
