CBF,ATT,Peak_PLD,Dist_1.525,Dist_2.025,Dist_2.525,Dist_3.025,Dist_3.525,Dist_4.025
20.0,0.5,1.0,0.5249999999999999,1.025,1.525,2.025,2.525,3.0250000000000004
20.0,1.0,1.0,0.5249999999999999,1.025,1.525,2.025,2.525,3.0250000000000004
20.0,1.5,1.4979959919839678,0.02700400801603209,0.5270040080160321,1.027004008016032,1.527004008016032,2.027004008016032,2.5270040080160325
20.0,2.0,1.995991983967936,0.4709919839679362,0.02900801603206382,0.5290080160320638,1.0290080160320638,1.5290080160320638,2.0290080160320643
20.0,2.5,2.501002004008016,0.976002004008016,0.47600200400801596,0.023997995991984045,0.523997995991984,1.023997995991984,1.5239979959919845
20.0,3.0,2.998997995991984,1.4739979959919842,0.9739979959919842,0.4739979959919842,0.026002004008015778,0.5260020040080158,1.0260020040080162
35.0,0.5,1.0,0.5249999999999999,1.025,1.525,2.025,2.525,3.0250000000000004
35.0,1.0,1.0,0.5249999999999999,1.025,1.525,2.025,2.525,3.0250000000000004
35.0,1.5,1.4979959919839678,0.02700400801603209,0.5270040080160321,1.027004008016032,1.527004008016032,2.027004008016032,2.5270040080160325
35.0,2.0,1.995991983967936,0.4709919839679362,0.02900801603206382,0.5290080160320638,1.0290080160320638,1.5290080160320638,2.0290080160320643
35.0,2.5,2.501002004008016,0.976002004008016,0.47600200400801596,0.023997995991984045,0.523997995991984,1.023997995991984,1.5239979959919845
35.0,3.0,2.998997995991984,1.4739979959919842,0.9739979959919842,0.4739979959919842,0.026002004008015778,0.5260020040080158,1.0260020040080162
50.0,0.5,1.0,0.5249999999999999,1.025,1.525,2.025,2.525,3.0250000000000004
50.0,1.0,1.0,0.5249999999999999,1.025,1.525,2.025,2.525,3.0250000000000004
50.0,1.5,1.4979959919839678,0.02700400801603209,0.5270040080160321,1.027004008016032,1.527004008016032,2.027004008016032,2.5270040080160325
50.0,2.0,1.995991983967936,0.4709919839679362,0.02900801603206382,0.5290080160320638,1.0290080160320638,1.5290080160320638,2.0290080160320643
50.0,2.5,2.501002004008016,0.976002004008016,0.47600200400801596,0.023997995991984045,0.523997995991984,1.023997995991984,1.5239979959919845
50.0,3.0,2.998997995991984,1.4739979959919842,0.9739979959919842,0.4739979959919842,0.026002004008015778,0.5260020040080158,1.0260020040080162
65.0,0.5,1.0,0.5249999999999999,1.025,1.525,2.025,2.525,3.0250000000000004
65.0,1.0,1.0,0.5249999999999999,1.025,1.525,2.025,2.525,3.0250000000000004
65.0,1.5,1.4979959919839678,0.02700400801603209,0.5270040080160321,1.027004008016032,1.527004008016032,2.027004008016032,2.5270040080160325
65.0,2.0,1.995991983967936,0.4709919839679362,0.02900801603206382,0.5290080160320638,1.0290080160320638,1.5290080160320638,2.0290080160320643
65.0,2.5,2.501002004008016,0.976002004008016,0.47600200400801596,0.023997995991984045,0.523997995991984,1.023997995991984,1.5239979959919845
65.0,3.0,2.998997995991984,1.4739979959919842,0.9739979959919842,0.4739979959919842,0.026002004008015778,0.5260020040080158,1.0260020040080162
80.0,0.5,1.0,0.5249999999999999,1.025,1.525,2.025,2.525,3.0250000000000004
80.0,1.0,1.0,0.5249999999999999,1.025,1.525,2.025,2.525,3.0250000000000004
80.0,1.5,1.4979959919839678,0.02700400801603209,0.5270040080160321,1.027004008016032,1.527004008016032,2.027004008016032,2.5270040080160325
80.0,2.0,1.995991983967936,0.4709919839679362,0.02900801603206382,0.5290080160320638,1.0290080160320638,1.5290080160320638,2.0290080160320643
80.0,2.5,2.501002004008016,0.976002004008016,0.47600200400801596,0.023997995991984045,0.523997995991984,1.023997995991984,1.5239979959919845
80.0,3.0,2.998997995991984,1.4739979959919842,0.9739979959919842,0.4739979959919842,0.026002004008015778,0.5260020040080158,1.0260020040080162
90.0,0.5,1.0,0.5249999999999999,1.025,1.525,2.025,2.525,3.0250000000000004
90.0,1.0,1.0,0.5249999999999999,1.025,1.525,2.025,2.525,3.0250000000000004
90.0,1.5,1.4979959919839678,0.02700400801603209,0.5270040080160321,1.027004008016032,1.527004008016032,2.027004008016032,2.5270040080160325
90.0,2.0,1.995991983967936,0.4709919839679362,0.02900801603206382,0.5290080160320638,1.0290080160320638,1.5290080160320638,2.0290080160320643
90.0,2.5,2.501002004008016,0.976002004008016,0.47600200400801596,0.023997995991984045,0.523997995991984,1.023997995991984,1.5239979959919845
90.0,3.0,2.998997995991984,1.4739979959919842,0.9739979959919842,0.4739979959919842,0.026002004008015778,0.5260020040080158,1.0260020040080162
