CBF,ATT,Selected_Signal_Span,Discarded_Signal_Span,Selected_Peak_Proximity_Mean,Discarded_Peak_Proximity_Mean
20.0,0.5,98.9226005189486,74.13715180831892,1.3583333333333332,2.191666666666667
20.0,1.0,111.02990492981948,83.21092322546161,1.3583333333333332,2.191666666666667
20.0,1.5,124.61904280774942,93.39524887516278,0.8603373413493655,1.6936706746826988
20.0,2.0,57.3855419711153,104.82605136851254,0.6763360053440213,1.195674682698731
20.0,2.5,33.14008232535556,56.62245721669841,0.507999331997328,1.0079993319973282
20.0,3.0,48.69165253766733,15.894627444947695,0.6579993319973281,0.842000668002672
35.0,0.5,173.11455090816008,129.74001566455811,1.3583333333333332,2.191666666666667
35.0,1.0,194.30233362718408,145.6191156445578,1.3583333333333332,2.191666666666667
35.0,1.5,218.0833249135615,163.44168553153486,0.8603373413493655,1.6936706746826988
35.0,2.0,100.42469844945177,183.4455898948969,0.6763360053440213,1.195674682698731
35.0,2.5,57.995144069372245,99.08930012922221,0.507999331997328,1.0079993319973282
35.0,3.0,85.21039194091783,27.815598028658457,0.6579993319973281,0.842000668002672
50.0,0.5,247.30650129737154,185.3428795207973,1.3583333333333332,2.191666666666667
50.0,1.0,277.5747623245487,208.02730806365403,1.3583333333333332,2.191666666666667
50.0,1.5,311.5476070193736,233.48812218790692,0.8603373413493655,1.6936706746826988
50.0,2.0,143.46385492778822,262.0651284212813,0.6763360053440213,1.195674682698731
50.0,2.5,82.8502058133889,141.556143041746,0.507999331997328,1.0079993319973282
50.0,3.0,121.72913134416834,39.736568612369226,0.6579993319973281,0.842000668002672
65.0,0.5,321.498451686583,240.94574337703645,1.3583333333333332,2.191666666666667
65.0,1.0,360.8471910219133,270.4355004827503,1.3583333333333332,2.191666666666667
65.0,1.5,405.01188912518563,303.534558844279,0.8603373413493655,1.6936706746826988
65.0,2.0,186.50301140612473,340.6846669476658,0.6763360053440213,1.195674682698731
65.0,2.5,107.70526755740559,184.0229859542698,0.507999331997328,1.0079993319973282
65.0,3.0,158.24787074741883,51.65753919608001,0.6579993319973281,0.842000668002672
80.0,0.5,395.6904020757944,296.5486072332757,1.3583333333333332,2.191666666666667
80.0,1.0,444.1196197192779,332.84369290184645,1.3583333333333332,2.191666666666667
80.0,1.5,498.4761712309977,373.5809955006511,0.8603373413493655,1.6936706746826988
80.0,2.0,229.5421678844612,419.30420547405015,0.6763360053440213,1.195674682698731
80.0,2.5,132.56032930142223,226.48982886679363,0.507999331997328,1.0079993319973282
80.0,3.0,194.76661015066932,63.57850977979078,0.6579993319973281,0.842000668002672
90.0,0.5,445.1517023352688,333.6171831374351,1.3583333333333332,2.191666666666667
90.0,1.0,499.6345721841877,374.44915451457723,1.3583333333333332,2.191666666666667
90.0,1.5,560.7856926348724,420.2786199382324,0.8603373413493655,1.6936706746826988
90.0,2.0,258.2349388700188,471.7172311583064,0.6763360053440213,1.195674682698731
90.0,2.5,149.1303704641,254.80105747514278,0.507999331997328,1.0079993319973282
90.0,3.0,219.11243641950298,71.52582350226461,0.6579993319973281,0.842000668002672
