CBF,ATT,PLD,Selected,Norm_Signal,Abs_Slope
37.454011884736246,0.5785729642168356,1.525,True,0.6456485248512269,220.13711375468847
37.454011884736246,0.5785729642168356,2.025,False,0.4256377404109096,145.3658890135539
37.454011884736246,0.5785729642168356,2.525,True,0.280597692225581,95.99127256773681
37.454011884736246,0.5785729642168356,3.025,True,0.18498139945558215,63.017697095071526
37.454011884736246,0.5785729642168356,3.525,False,0.12194725435245801,41.613262777763794
37.454011884736246,0.5785729642168356,4.025,False,0.08039258481052818,27.47900540380897
95.07143064099162,2.091026028159451,1.525,True,0.8276592206475587,227.58162951334089
95.07143064099162,2.091026028159451,2.025,False,0.984663204371094,150.2818190585749
95.07143064099162,2.091026028159451,2.525,True,0.6971733565669679,345.51401479206834
95.07143064099162,2.091026028159451,3.025,True,0.4596050029421666,226.82788699258163
95.07143064099162,2.091026028159451,3.525,False,0.30299029178287074,149.78409084843224
95.07143064099162,2.091026028159451,4.025,False,0.19974351089955594,98.90879895215039
73.1993941811405,1.2858899526908167,1.525,True,0.8203868526757511,506.56880727402313
73.1993941811405,1.2858899526908167,2.025,False,0.5408323457661209,334.5089056540637
73.1993941811405,1.2858899526908167,2.525,True,0.3565386564556418,220.89044243371973
73.1993941811405,1.2858899526908167,3.025,True,0.23504476857263676,145.01325610264394
73.1993941811405,1.2858899526908167,3.525,False,0.15495106135914247,95.75841407461394
73.1993941811405,1.2858899526908167,4.025,False,0.10215003534062873,63.23334922977392
59.86584841970366,1.771426727911757,1.525,True,0.9346161740777611,133.11103406856273
59.86584841970366,1.771426727911757,2.025,False,0.8096007151898341,306.0365390987572
59.86584841970366,1.771426727911757,2.525,True,0.5337216856924762,202.08892911304065
59.86584841970366,1.771426727911757,3.025,True,0.3518510204275512,132.6701749070653
59.86584841970366,1.771426727911757,3.525,False,0.2319544884433281,87.6077531498895
59.86584841970366,1.771426727911757,4.025,False,0.15291382313920107,57.85112153012324
15.601864044243651,2.7689161848152324,1.525,True,0.47753658977791846,43.676568627802226
15.601864044243651,2.7689161848152324,2.025,False,0.7535878691265667,28.841493918729157
15.601864044243651,2.7689161848152324,2.525,True,0.9355720884920082,19.045263801574947
15.601864044243651,2.7689161848152324,3.025,True,0.8080976421632378,43.53191333639825
15.601864044243651,2.7689161848152324,3.525,False,0.5327307988831855,28.745971883952734
15.601864044243651,2.7689161848152324,4.025,False,0.35119778758293685,18.982186543637
15.599452033620265,1.1232305728721874,1.525,True,0.7161609732195965,103.97462727543643
