epoch,train_mae,validation_mae
1,1.1872273087501526,0.7894270122051239
2,0.6413985714316368,0.4541325718164444
3,0.4576805606484413,0.4387972056865692
4,0.4199610464274883,0.48689500987529755
5,0.43855055049061775,0.4341336488723755
6,0.4080735333263874,0.3898184597492218
7,0.4052986539900303,0.4400549381971359
8,0.3969905637204647,0.3920065611600876
9,0.3816012442111969,0.3769701272249222
10,0.40075915679335594,0.4052419662475586
11,0.3952314741909504,0.40519753098487854
12,0.39659271761775017,0.36635899543762207
13,0.37582290545105934,0.3919750601053238
14,0.37673383578658104,0.3773399889469147
15,0.3787696957588196,0.37701287865638733
16,0.36600958183407784,0.36739280819892883
17,0.3649270720779896,0.36649172008037567
18,0.3529329411685467,0.36293335258960724
19,0.34998996183276176,0.3662472069263458
20,0.34956856817007065,0.35394084453582764
21,0.34668736904859543,0.3563559353351593
22,0.3465549200773239,0.3559078723192215
23,0.36195703223347664,0.3570101857185364
24,0.3468318246304989,0.38087666034698486
25,0.363297738134861,0.3675711750984192
26,0.3460436351597309,0.35751329362392426
27,0.3431890793144703,0.3578331917524338
28,0.3415200263261795,0.36127328872680664
29,0.3432357721030712,0.35716259479522705
30,0.3402733653783798,0.3657461702823639
31,0.343686580657959,0.3705845922231674
32,0.3511960990726948,0.3859645128250122
33,0.36131754145026207,0.3665328770875931
34,0.35421832650899887,0.37696248292922974
35,0.3610462136566639,0.35726557672023773
36,0.33817804232239723,0.36717385053634644
37,0.34279705211520195,0.35277247428894043
38,0.3412688188254833,0.3635452687740326
39,0.3450799137353897,0.3709011822938919
40,0.34971338510513306,0.3676799386739731
41,0.3484797291457653,0.3687472343444824
42,0.3484948091208935,0.3663928210735321
43,0.3469628393650055,0.3670941889286041
44,0.3483675867319107,0.3723039776086807
45,0.35433444380760193,0.3554479479789734
46,0.3444766290485859,0.34976138174533844
47,0.3470282591879368,0.3738766461610794
48,0.35560721904039383,0.3571573346853256
49,0.34317677468061447,0.36251504719257355
50,0.3371487334370613,0.36017879843711853
51,0.3363937549293041,0.36693331599235535
52,0.3411843180656433,0.363334596157074
53,0.3430253863334656,0.3697687089443207
54,0.33928677439689636,0.36094698309898376
55,0.3392607383430004,0.34982259571552277
56,0.3319903537631035,0.35396595299243927
57,0.3366572968661785,0.3486291319131851
58,0.33341019228100777,0.3724353760480881
59,0.340267613530159,0.3747083991765976
60,0.33255278691649437,0.3586423993110657
61,0.34547727182507515,0.36851105093955994
62,0.3428717963397503,0.3549172580242157
63,0.33538319543004036,0.3578783720731735
64,0.3290660120546818,0.3562088906764984
65,0.3319326639175415,0.34815870225429535
66,0.3340054117143154,0.3506395071744919
67,0.3410075455904007,0.3506942540407181
68,0.3352913483977318,0.36530250310897827
69,0.33867115527391434,0.38118498027324677
70,0.33882788196206093,0.37434664368629456
71,0.3429918549954891,0.3886999189853668
72,0.3334983177483082,0.36005136370658875
73,0.32737161964178085,0.34626588225364685
74,0.3408873565495014,0.355288490653038
75,0.3355318643152714,0.35865171253681183
76,0.33309321850538254,0.3614443391561508
77,0.3284424990415573,0.35034048557281494
78,0.3266133591532707,0.35154446959495544
79,0.32266779243946075,0.34908515214920044
80,0.32673321664333344,0.3491061329841614
81,0.33141162246465683,0.3535321354866028
82,0.32446565851569176,0.3508632779121399
83,0.32544174790382385,0.35344018042087555
84,0.3235885724425316,0.3627214878797531
85,0.33084771782159805,0.36183851957321167
86,0.3310347720980644,0.3474377393722534
87,0.3234882950782776,0.3631972372531891
88,0.32885851338505745,0.3522208631038666
89,0.31888218596577644,0.35003994405269623
90,0.3198869600892067,0.36479489505290985
91,0.3295569308102131,0.3683282732963562
92,0.3325664848089218,0.3518524318933487
93,0.3243722543120384,0.3549090325832367
