epoch,train_loss,validation_loss
1,0.4848574437201023,0.2893901765346527
2,0.26801046822220087,0.2228701412677765
3,0.2502614571712911,0.1920827329158783
4,0.23012279020622373,0.1894712746143341
5,0.2292716591618955,0.18905439972877502
6,0.2183061596006155,0.18269045650959015
7,0.2139063668437302,0.1768302619457245
8,0.21413846546784043,0.17785851657390594
9,0.21781731443479657,0.17204010486602783
10,0.20445875264704227,0.1715201437473297
11,0.20234470395371318,0.1708212047815323
12,0.20123299909755588,0.17189373075962067
13,0.20475366432219744,0.17259415984153748
14,0.20738462870940566,0.16913452744483948
15,0.19674071623012424,0.16796375811100006
16,0.20219720155000687,0.1683138608932495
17,0.19638826861046255,0.16752301156520844
18,0.19047073973342776,0.1674526333808899
19,0.19711926206946373,0.1698118895292282
20,0.19440945843234658,0.1683138906955719
21,0.19340129476040602,0.16836418211460114
22,0.19699637219309807,0.16753555834293365
23,0.18822972383350134,0.16755340993404388
24,0.19503834610804915,0.1680775135755539
25,0.19405754888430238,0.16560502350330353
26,0.18961057299748063,0.16662795841693878
27,0.19024726282805204,0.1672743707895279
28,0.1921153236180544,0.16497035324573517
29,0.19696958735585213,0.16498227417469025
30,0.1894501829519868,0.16754861176013947
31,0.1893016821704805,0.16492661833763123
32,0.1838242942467332,0.1653977930545807
33,0.18191527295857668,0.16539530456066132
34,0.18537127343006432,0.16474413871765137
35,0.18415031861513853,0.16460849344730377
36,0.1825862554833293,0.16480256617069244
37,0.18223255453631282,0.1655934602022171
38,0.187261582352221,0.1657865047454834
39,0.18504488747566938,0.16634881496429443
40,0.19293913152068853,0.1676790416240692
41,0.18740372313186526,0.16541345417499542
42,0.18617301946505904,0.1648910492658615
43,0.18989470368251204,0.16805921494960785
44,0.18376496667042375,0.16687287390232086
45,0.1827539480291307,0.16596005856990814
46,0.18450084794312716,0.16640521585941315
47,0.18177124531939626,0.167218416929245
48,0.18867999548092484,0.16748113930225372
49,0.18164336448535323,0.16297267377376556
50,0.17985682096332312,0.16696283221244812
51,0.18176695657894015,0.16532085835933685
52,0.18628947483375669,0.16435427963733673
53,0.18115117913112044,0.16531559824943542
54,0.18073462275788188,0.16401590406894684
55,0.1853774324990809,0.16661809384822845
56,0.18652104353532195,0.1687726229429245
57,0.18168901186436415,0.163878932595253
58,0.1822245349176228,0.1626894325017929
59,0.18431189958937466,0.16537220776081085
60,0.18169586407020688,0.1645839512348175
61,0.17975176498293877,0.1649675816297531
62,0.18140467582270503,0.16579070687294006
63,0.18703232565894723,0.17331407964229584
64,0.18229772429913282,0.1658439189195633
65,0.17880131816491485,0.16418658196926117
66,0.17818937613628805,0.16361819207668304
67,0.1764646244700998,0.16525661945343018
68,0.1758179417811334,0.16430191695690155
69,0.17764756176620722,0.1632249802350998
70,0.17978961393237114,0.1655421406030655
71,0.17775195417925715,0.16404440999031067
72,0.17668454395607114,0.16500349342823029
73,0.18132667616009712,0.16628795862197876
74,0.1790788529906422,0.16369500756263733
75,0.17641377495601773,0.16610784828662872
76,0.16731838299892843,0.1650022566318512
77,0.1745155886746943,0.16616705060005188
78,0.17836504988372326,0.16339248418807983
