reference_cbf,reference_att,reference_pld,reference_ld,pld_configuration,n_plds,cbf_mae,cbf_rmse,cbf_r2,cbf_bias,att_mae,att_rmse,att_r2,att_bias,train_samples,seed,best_cbf_epoch,best_att_epoch
30.0,1.0,2.0,1.8,6_PLD_Baseline,6,2.2014899253845215,3.1303024291992188,0.9882470369338989,0.08269672840833664,0.1861063688993454,0.2986443042755127,0.8275315165519714,0.001920392969623208,100000,52,58,44
30.0,1.0,2.0,1.8,3_PLD_Selected,3,2.404621124267578,3.3312203884124756,0.9866899251937866,0.19456613063812256,0.1984962671995163,0.31181371212005615,0.8119853734970093,0.012933628633618355,100000,52,18,28
30.0,1.6,2.0,1.8,6_PLD_Baseline,6,2.3530609607696533,3.3028666973114014,0.9869155287742615,0.18504229187965393,0.195542111992836,0.31560349464416504,0.8073872923851013,0.01950380951166153,100000,52,45,45
30.0,1.6,2.0,1.8,3_PLD_Selected,3,2.6018292903900146,3.531801462173462,0.9850388169288635,0.04047875851392746,0.20687931776046753,0.33043691515922546,0.7888561487197876,0.0237800981849432,100000,52,22,87
30.0,2.2,2.0,1.8,6_PLD_Baseline,6,2.2814342975616455,3.247731924057007,0.987348735332489,-0.174041286110878,0.19204166531562805,0.3047419786453247,0.8204167485237122,0.009637518785893917,100000,52,22,28
30.0,2.2,2.0,1.8,3_PLD_Selected,3,2.4811806678771973,3.4168453216552734,0.9859969019889832,-0.06650299578905106,0.20241166651248932,0.3200119733810425,0.8019687533378601,0.016003841534256935,100000,52,22,42
50.0,1.0,2.0,1.8,6_PLD_Baseline,6,2.9200336933135986,4.024393081665039,0.980574369430542,0.13784468173980713,0.22277607023715973,0.3499910533428192,0.7631272077560425,0.025089377537369728,100000,52,27,25
50.0,1.0,2.0,1.8,3_PLD_Selected,3,3.2636656761169434,4.416224002838135,0.9766075015068054,-0.03819868713617325,0.23559658229351044,0.36551278829574585,0.741651177406311,0.035251036286354065,100000,52,42,70
50.0,1.6,2.0,1.8,6_PLD_Baseline,6,3.2129969596862793,4.423497200012207,0.9765304327011108,0.19844116270542145,0.23705729842185974,0.3684329688549042,0.7375066876411438,0.01435757428407669,100000,52,33,30
50.0,1.6,2.0,1.8,3_PLD_Selected,3,3.6186444759368896,4.930879592895508,0.9708376526832581,0.1358194351196289,0.2503744959831238,0.3835128843784332,0.7155793309211731,0.03111778013408184,100000,52,19,26
50.0,2.2,2.0,1.8,6_PLD_Baseline,6,3.027139902114868,4.178160667419434,0.9790615439414978,-0.10474764555692673,0.22969108819961548,0.3605971336364746,0.7485533952713013,0.0409238301217556,100000,52,35,29
50.0,2.2,2.0,1.8,3_PLD_Selected,3,3.3867149353027344,4.638345241546631,0.9741952419281006,0.17207454144954681,0.2420780062675476,0.3688192069530487,0.7369560599327087,0.04135287553071976,100000,52,43,42
70.0,1.0,2.0,1.8,6_PLD_Baseline,6,3.701432704925537,5.14987325668335,0.9681897759437561,-0.049119941890239716,0.2563464343547821,0.39445874094963074,0.6991122961044312,0.033111702650785446,100000,52,44,48
70.0,1.0,2.0,1.8,3_PLD_Selected,3,4.2295708656311035,5.847854137420654,0.9589827060699463,0.3987531363964081,0.2707037031650543,0.40802961587905884,0.6780527830123901,0.037069860845804214,100000,52,26,59
70.0,1.6,2.0,1.8,6_PLD_Baseline,6,4.144105911254883,5.832540035247803,0.9591972827911377,0.03874175250530243,0.26990073919296265,0.40606263279914856,0.6811493635177612,0.026690447703003883,100000,52,21,21
70.0,1.6,2.0,1.8,3_PLD_Selected,3,4.7400922775268555,6.616582870483398,0.9474900960922241,0.7884966135025024,0.28665652871131897,0.42904338240623474,0.6440379619598389,0.04804777354001999,100000,52,49,28
70.0,2.2,2.0,1.8,6_PLD_Baseline,6,3.8848230838775635,5.401501655578613,0.9650052189826965,0.02445978671312332,0.2606593370437622,0.3980686366558075,0.6935799717903137,0.04099515452980995,100000,52,40,17
70.0,2.2,2.0,1.8,3_PLD_Selected,3,4.402109146118164,6.075333595275879,0.9557295441627502,0.33021822571754456,0.2764502465724945,0.4135313928127289,0.6693121194839478,0.0481167733669281,100000,52,32,74
